2009 10 01    9.78   18.70   15.66   23.94   14.17   18.64              0.64              0.64              5.17              4.98
2009 10 02   11.05   16.67   11.78   21.77   10.72   16.42              0.63              0.63              5.19              4.87
2009 10 03   12.04   15.74   10.07   20.91    8.87   15.23              0.67              0.67              -999              5.03
2009 10 04    9.31   14.77    7.11   19.75   10.44   14.74              0.65              0.65              5.18              4.99
2009 10 05    8.90   15.50   11.33   20.59   11.69   16.29              0.61              0.61              -999              4.60
2009 10 06   10.97   15.92   10.89   22.10   11.14   16.12              0.69              0.69              5.09              5.00
2009 10 07    9.35   15.44   11.25   20.37   11.02   14.89              0.64              0.64              4.93              4.76
2009 10 08    9.36   14.06    8.00   18.97    9.61   13.39              0.66              0.66              4.97              4.94
2009 10 09    9.70   13.94    8.17   18.43    8.72   13.46              0.42              0.42              -999              3.05
2009 10 10    9.90   13.88    8.30   19.51    9.62   13.89              0.66              0.66              4.84              4.78
2009 10 11   10.44   14.06    8.04   19.37    8.93   14.69              0.59              0.59              -999              4.11
2009 10 12    9.25   13.23    8.33   18.54    9.30   14.01              0.57              0.57              -999              3.99
2009 10 13    9.09   13.44   10.53   18.16    9.08   13.49              0.37              0.37              -999              2.57
2009 10 14    9.51   13.09    7.98   18.35    8.83   13.30              0.66              0.66              -999              4.56
2009 10 15    9.71   13.40    9.12   19.55    9.84   14.34              0.69              0.69              4.80              4.72
2009 10 16    8.20   14.84   12.43   20.06   11.86   15.71              0.62              0.62              -999              4.14
2009 10 17    7.67   12.79    8.01   16.31    8.64   12.46              0.54              0.54              -999              3.63
2009 10 18   10.24   12.63    7.16   17.39    7.15   12.43              0.69              0.69              4.54              4.49
2009 10 19    4.88   11.63    6.55   13.25    8.36   11.10              0.48              0.48              -999              3.19
2009 10 20   10.01   10.29    3.95   14.19    4.18    9.60              0.69              0.69              4.46              4.35
2009 10 21    9.33   11.24    6.18   16.06    6.72   11.24              0.73              0.73              4.64              4.57
2009 10 22   11.87   10.37    4.37   17.02    5.15   11.10              0.58              0.58              -999              3.62
2009 10 23    8.82   13.82   11.56   19.24   10.42   13.95              0.51              0.51              -999              3.22
